sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-05-20;113,780;113,800;111,900;113,900;111,360;113,680;112,862;6565691;740983524,87;13575;
2021-05-19;111,840;111,860;111,000;112,060;110,360;111,800;111,213;8056555;895928162,92;14079;
2021-05-18;111,680;111,740;110,320;112,020;110,320;111,780;111,348;7256883;807936689,76;13793;
2021-05-17;110,240;110,260;110,900;111,260;109,800;110,260;110,280;3687374;406648448,07;8065;
2021-05-14;110,240;110,260;110,200;110,700;109,120;110,260;109,977;7968708;876367592,61;16193;
2021-05-12;111,340;111,400;110,500;111,780;110,000;111,280;111,090;3509874;389906965,64;7580;
2021-05-11;110,380;110,400;114,200;114,200;109,760;110,500;110,988;8767662;973257510,71;15980;
2021-05-10;114,660;114,720;115,540;116,240;114,260;114,720;115,211;7337651;845487962,71;13400;
2021-05-07;116,220;116,280;116,900;118,460;114,140;116,380;115,720;10388885;1202029186,3;15616;
2021-05-06;115,360;115,400;115,840;116,420;114,880;115,400;115,425;5386509;621747297,72;11675;
2021-05-05;116,160;116,180;114,780;116,260;114,560;116,260;115,830;4723197;547068099,1;9101;
2021-05-04;113,460;113,520;116,880;117,080;113,440;113,740;114,663;7090388;813016386,3;16127;
2021-05-03;116,560;116,600;117,860;117,880;115,820;116,660;116,812;4245622;495953969,45;7886;
2021-04-30;116,340;116,400;116,700;117,500;115,940;115,940;116,329;3334660;387951983,4;4460;
2021-04-29;116,360;116,400;118,560;119,280;116,260;116,500;117,451;6648359;780886516,47;12705;
2021-04-28;118,020;118,080;121,000;121,000;117,140;118,000;118,195;5413878;639873628,43;8702;
2021-04-27;117,760;117,780;118,460;118,840;117,220;117,880;117,820;5630096;663337957,26;10457;
2021-04-26;118,900;118,940;119,160;119,420;118,200;118,600;118,694;3905252;463527146,58;8535;
2021-04-23;119,020;119,080;119,440;119,820;118,520;119,000;119,089;5679011;676293441,95;11788;
2021-04-22;119,940;119,980;120,620;121,500;117,820;119,860;119,230;9362703;1116144385,86;19110;
2021-04-21;120,640;120,700;115,000;121,800;113,520;120,600;118,456;15162983;1795954174,52;26659;
